Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
101	3061.9028	2005.2612	5408.54	-601.17175	992.8	354.05408	192.7944	497.63373	-348.3021	2040000	-9.155274e-09	12904.183	-0.0008374481	-6890.1274	3.389082	0.032022364	0.367	2.0	5304.517289400101	1949
102	3220.0288	1867.084	5227.897	-603.25903	1125.4706	307.80606	218.28442	499.02994	-473.03677	2060000	7.629395e-09	1779.81	-0.0019382401	-1648.8612	3.3902442	0.011035676	0.13635	8.0	5350.372841835022	1967
103	3470.1104	1748.6774	5076.038	-596.0891	1107.5555	347.6873	192.77808	498.53738	-491.68668	2080000	6.1035155e-09	1007.5931	-0.00016259155	-697.6392	3.4056718	0.017718753	0.19365	2.0	5395.210201501846	1986
104	3017.767	2081.5042	5296.6387	-603.7099	1054.0	319.37866	213.82013	498.331	-335.90604	2100000	1.373291e-08	2173.2112	-0.011360756	-1766.9962	3.3804605	0.0101246135	0.10355	79.0	5455.277732372284	2005
105	3271.8447	2073.5977	5303.484	-602.362	1055.6111	342.35788	210.27762	502.07352	-413.24908	2120000	-4.577637e-09	5068.907	-0.00021448822	-3647.4011	3.3528867	0.01290278	0.16905	9.0	5501.627720594406	2024
106	2657.8887	2208.8713	4932.345	-602.2431	973.35	313.36734	220.20906	500.43213	-420.19577	2140000	-1.5258789e-09	5708.2324	-0.0026197159	-4010.4612	3.3701613	0.011792797	0.14555	4.0	5546.819528102875	2045
107	4679.5806	409.95538	5400.466	3983.6582	1200.0	404.059	160.52031	500.21036	-234.4151	2160000	1.6021728e-08	3935.548	-0.0075102	-3832.4658	3.352736	0.0063279974	0.06835	79.0	5606.840111017227	2062
108	3845.41	1702.0792	5899.1445	-602.9564	1117.5294	378.6921	185.39377	499.1689	-501.55768	2180000	4.577637e-09	1187.9518	-0.010817127	-780.8364	3.3163323	0.011003218	0.1528	79.0	5665.499711751938	2080
109	3953.7227	1624.0603	5561.936	-552.5737	1096.8334	394.74878	161.69856	498.60443	-89.480545	2200000	-2.746582e-08	4464.2705	-0.0019512116	-1901.3564	3.308023	0.020111496	0.24845	2.0	5710.551955699921	2099
110	1179.9841	1803.9921	4705.987	-602.8244	642.8387	312.60736	194.98854	496.98447	-443.6551	2220000	6.1035155e-09	68747.195	-0.008268549	-43943.33	3.3161168	0.0024480768	0.0974	79.0	5770.213153839111	2131
111	1508.392	2113.9329	4887.7295	-602.9249	798.375	189.1878	196.23433	484.1417	-419.6254	2240000	1.5258789e-09	14229.203	-0.005291934	-4723.334	3.2921476	0.008715553	0.1041	1.0	5815.017557144165	2156
