Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
94	699.87	27.9336	732.093	659.329	1000.0	42.977	4.89334	49.987	5.72582	380000	1.00136e-08	157.547	-0.0159598	-9.62978	3.7739	0.0169927	0.22325	9.0	372.48213720321655
95	681.336	14.2702	696.961	658.11	1000.0	42.8349	4.06024	49.8018	14.4617	384000	-4.76837e-09	161.471	-0.00967769	-8.39218	3.74182	0.017937	0.22975	4.0	376.8018321990967
96	673.115	20.554	691.459	640.698	1000.0	41.7007	6.19514	49.3427	8.18492	388000	-3.62396e-08	165.989	-0.0132441	-14.8212	3.72586	0.0156597	0.1935	6.0	380.86664056777954
97	706.273	34.4317	751.418	660.295	1000.0	42.1615	6.55913	49.4452	-0.399843	392000	3.09944e-09	148.764	-0.022825	-10.7663	3.78083	0.016096	0.224	16.0	384.0814137458801
98	707.514	43.1183	748.46	635.362	1000.0	44.2449	6.51825	50.0338	-11.1916	396000	-4.29153e-09	138.645	-0.0133097	-9.55037	3.72159	0.0158075	0.22525	5.0	387.190110206604
99	731.245	32.9818	763.477	686.107	1000.0	42.8392	5.39191	49.0254	3.44211	400000	2.74181e-09	157.582	-0.010558	-18.5685	3.6744	0.0160219	0.167	4.0	390.28202199935913
100	709.382	33.5019	747.769	666.063	1000.0	45.535	6.97317	50.9807	-0.164263	404000	-1.12057e-08	146.65	-0.00990684	-30.2816	3.70976	0.0188467	0.24775	4.0	393.8277060985565
101	709.99	26.1131	748.75	682.13	1000.0	41.4025	5.07043	47.8025	6.23306	408000	-1.13249e-08	137.951	-0.0101821	-5.91982	3.68554	0.0166855	0.2075	6.0	398.2265214920044
102	757.828	17.7039	781.902	732.147	1000.0	42.8778	4.30418	48.7999	10.753	412000	2.14577e-09	165.68	-0.00827065	-10.0613	3.73296	0.01917	0.232	4.0	402.64370942115784
103	741.637	35.8087	801.468	708.283	1000.0	44.6083	4.13414	50.4188	9.48875	416000	1.19209e-09	127.161	-0.00801245	-8.68086	3.68759	0.0187395	0.215	4.0	405.73568987846375
104	732.833	46.5982	786.584	658.389	1000.0	42.7579	4.11538	49.392	11.7832	420000	8.34465e-09	140.16	-0.0437612	-12.0724	3.6535	0.0082577	0.2305	79.0	409.5591197013855
105	774.129	18.5881	792.772	744.736	1000.0	42.3975	3.90068	48.3238	8.01721	424000	-2.86102e-09	131.91	-0.00949652	-8.44882	3.60823	0.0171005	0.19025	4.0	413.994247674942
106	720.097	22.8118	739.874	682.366	1000.0	44.151	4.0619	49.9811	5.08771	428000	4.58956e-08	139.785	-0.0182555	-27.7648	3.58509	0.0167831	0.2135	13.0	417.16898369789124
107	756.346	61.1647	826.057	658.732	1000.0	39.4023	5.49492	46.6746	-11.6272	432000	1.14441e-08	153.077	-0.0208422	-17.5706	3.56678	0.0162475	0.229	13.0	421.62834644317627
108	773.444	27.9176	813.75	745.896	1000.0	43.0201	4.58873	49.4431	-4.27619	436000	-5.72205e-09	128.809	-0.0102361	-10.7282	3.63067	0.0175119	0.193	5.0	424.7670693397522
109	773.948	32.7454	828.585	742.146	1000.0	42.7056	2.86675	48.5302	16.9957	440000	-2.26498e-08	120.294	-0.00874177	-4.73127	3.58904	0.0163293	0.194	5.0	427.870721578598
110	770.388	60.2325	853.676	683.657	1000.0	42.2381	5.14207	48.9908	-9.8328	444000	4.76837e-09	149.778	-0.0127897	-15.9303	3.59567	0.0165564	0.2325	5.0	431.4186637401581
111	770.0	26.3194	807.534	741.159	1000.0	42.8698	4.34012	50.0459	9.05201	448000	2.563e-08	157.34	-0.0124957	-11.0661	3.52911	0.0169625	0.15775	8.0	435.8316562175751
112	770.183	21.4933	798.031	737.692	1000.0	41.6601	4.50969	49.791	-2.36154	452000	-1.38283e-08	115.201	-0.0100032	-6.67151	3.48568	0.0144819	0.2135	4.0	438.92535638809204
113	780.451	41.8469	827.553	721.334	1000.0	41.1514	4.54292	49.3334	-4.26785	456000	-4.41074e-09	156.822	-0.0156743	-11.0065	3.52161	0.017864	0.18575	9.0	442.0806407928467
114	761.0	74.3731	833.893	643.827	1000.0	41.6249	6.06249	50.0182	-19.4278	460000	7.15256e-09	142.511	-0.0447936	-17.1022	3.54909	0.0133246	0.208	79.0	445.89180183410645
115	771.341	23.236	790.11	731.893	1000.0	40.2555	4.62221	48.7599	-0.41098	464000	7.62939e-09	110.107	-0.0102719	-12.0415	3.57373	0.0180541	0.25675	4.0	450.3086564540863
116	773.124	28.0695	807.874	729.504	1000.0	39.1061	3.53642	45.7739	-7.10017	468000	3.49283e-08	124.977	-0.0430801	-6.94406	3.5524	0.0150975	0.24925	61.0	453.95563316345215
117	797.928	8.87652	809.119	786.149	1000.0	39.6948	4.78968	47.356	-16.0725	472000	1.00136e-08	146.363	-0.0485569	-13.39	3.56471	0.0109238	0.257	79.0	459.0758783817291
118	802.022	28.7063	834.638	766.886	1000.0	42.3954	4.70222	49.0505	13.6761	476000	1.52588e-08	155.933	-0.0174927	-8.06531	3.46712	0.0181401	0.224	11.0	462.24116945266724
119	811.144	31.4562	850.783	775.062	1000.0	41.8708	4.25304	49.6054	11.7703	480000	-1.41859e-08	160.252	-0.0463614	-10.7689	3.39383	0.0104618	0.25475	79.0	466.0696060657501
120	799.514	36.8485	856.978	757.194	1000.0	40.7439	3.54179	49.0039	14.6728	484000	-2.21729e-08	99.9129	-0.0130051	-7.46538	3.34987	0.0127634	0.167	5.0	470.9752173423767
121	835.297	31.4199	874.432	790.531	1000.0	40.616	3.76339	49.1515	14.9207	488000	-7.15256e-09	130.209	-0.0147321	-10.2159	3.32895	0.0179599	0.14675	10.0	474.12631249427795
122	792.879	47.7407	861.413	735.415	1000.0	42.3362	4.6789	49.2924	-7.04292	492000	-1.21593e-08	149.986	-0.0109186	-22.475	3.34182	0.0180153	0.235	4.0	477.2241940498352
123	799.612	34.6243	824.497	740.151	1000.0	40.486	5.20921	47.9722	-13.4872	496000	-1.71661e-08	165.872	-0.0187772	-16.3206	3.3317	0.0169275	0.2255	13.0	481.26940965652466
124	821.221	46.2583	888.111	769.937	1000.0	39.2658	5.90294	47.7783	-7.15799	500000	-3.93391e-09	166.58	-0.0240188	-15.3748	3.29874	0.0146511	0.21975	17.0	485.80449056625366
